ts_code,date,open,high,low,close,pre_close,change,pct_chg,volume,amount
300661.SZ,2020-01-02,249.86,261.99,245.88,257.29,252.48,4.81,1.9051,22658.6,579699.671
300661.SZ,2020-01-03,257.0,257.0,234.68,244.0,257.29,-13.29,-5.1654,32364.47,785538.447
300661.SZ,2020-01-06,236.5,243.99,233.02,239.8,244.0,-4.2,-1.7213,28216.97,672669.799
300661.SZ,2020-01-07,239.8,242.92,232.68,233.6,239.8,-6.2,-2.5855,19813.74,467740.391
300661.SZ,2020-01-08,232.63,242.9,229.23,240.0,233.6,6.4,2.7397,25575.19,608038.034
300661.SZ,2020-01-09,240.5,254.98,235.4,249.56,240.0,9.56,3.9833,23965.09,585507.677
300661.SZ,2020-01-10,247.0,266.91,246.99,262.0,249.56,12.44,4.9848,25406.94,659067.909
300661.SZ,2020-01-13,261.0,284.0,258.98,280.28,262.0,18.28,6.9771,20920.03,572502.266
300661.SZ,2020-01-14,280.3,283.0,264.78,268.83,280.28,-11.45,-4.0852,18834.75,510958.529
300661.SZ,2020-01-15,268.0,271.0,259.01,265.75,268.83,-3.08,-1.1457,18312.74,484584.682
300661.SZ,2020-01-16,266.0,266.0,254.0,255.17,265.75,-10.58,-3.9812,24406.83,627670.773
300661.SZ,2020-01-17,257.59,266.68,255.83,259.55,255.17,4.38,1.7165,19179.17,502837.548
300661.SZ,2020-01-20,261.05,278.92,261.05,275.2,259.55,15.65,6.0297,21799.4,593399.59
300661.SZ,2020-01-21,272.4,288.8,268.86,282.3,275.2,7.1,2.5799,26966.63,752702.896
300661.SZ,2020-01-22,280.0,299.5,274.0,291.18,282.3,8.88,3.1456,23612.43,683011.729
300661.SZ,2020-01-23,282.9,292.79,264.8,275.11,291.18,-16.07,-5.5189,24314.57,681544.975
300661.SZ,2020-02-03,247.6,260.0,247.6,247.6,275.11,-27.51,-9.9996,10610.96,263315.929
300661.SZ,2020-02-04,230.0,265.65,230.0,263.78,247.6,16.18,6.5347,21417.0,554452.445
300661.SZ,2020-02-05,266.0,270.36,250.0,254.0,263.78,-9.78,-3.7076,22842.67,596262.992
300661.SZ,2020-02-06,249.58,258.0,245.88,254.1,254.0,0.1,0.0394,14627.79,370007.168
300661.SZ,2020-02-07,251.44,266.5,250.33,264.19,254.1,10.09,3.9709,20628.51,539223.972
300661.SZ,2020-02-10,259.0,264.19,250.59,254.1,264.19,-10.09,-3.8192,16756.69,428008.41
300661.SZ,2020-02-11,254.0,270.61,251.13,270.61,254.1,16.51,6.4974,22828.25,597797.918
300661.SZ,2020-02-12,266.1,270.0,261.0,269.08,270.61,-1.53,-0.5654,19864.14,528302.729
300661.SZ,2020-02-13,266.51,281.01,264.55,275.2,269.08,6.12,2.2744,25723.21,705281.618
300661.SZ,2020-02-14,271.48,284.0,270.0,277.24,275.2,2.04,0.7413,18622.03,516518.009
300661.SZ,2020-02-17,283.5,285.0,275.0,281.78,277.24,4.54,1.6376,16701.29,468048.315
300661.SZ,2020-02-18,278.81,300.0,278.76,295.97,281.78,14.19,5.0358,22744.3,661000.533
300661.SZ,2020-02-19,301.0,325.57,294.99,325.57,295.97,29.6,10.001,26986.9,859017.63
300661.SZ,2020-02-20,333.67,349.5,324.14,341.76,325.57,16.19,4.9728,30574.73,1022719.78
300661.SZ,2020-02-21,337.31,343.99,333.67,335.81,341.76,-5.95,-1.741,18462.4,625721.851
300661.SZ,2020-02-24,331.98,350.0,330.0,350.0,335.81,14.19,4.2256,23970.69,815638.579
300661.SZ,2020-02-25,340.0,364.99,330.01,354.0,350.0,4.0,1.1429,29632.06,1035504.548
300661.SZ,2020-02-26,345.0,369.0,335.0,341.0,354.0,-13.0,-3.6723,25248.11,896067.577
300661.SZ,2020-02-27,352.0,361.0,326.0,357.55,341.0,16.55,4.8534,30352.54,1051842.908
300661.SZ,2020-02-28,335.22,338.1,321.8,321.8,357.55,-35.75,-9.9986,20962.97,680501.113
300661.SZ,2020-03-02,330.0,330.0,292.96,307.6,321.8,-14.2,-4.4127,23145.15,709552.146
300661.SZ,2020-03-03,316.7,322.4,302.93,304.0,307.6,-3.6,-1.1704,20656.43,644650.502
300661.SZ,2020-03-04,294.1,299.7,280.0,289.5,304.0,-14.5,-4.7697,24650.11,708750.182
300661.SZ,2020-03-05,296.0,298.59,275.7,293.64,289.5,4.14,1.4301,22617.66,647118.633
300661.SZ,2020-03-06,286.0,293.43,281.28,283.91,293.64,-9.73,-3.3136,15549.38,445106.609
300661.SZ,2020-03-09,283.0,283.91,261.61,264.78,283.91,-19.13,-6.7381,16120.06,439376.341
300661.SZ,2020-03-10,261.8,276.8,260.52,276.12,264.78,11.34,4.2828,20219.34,546406.72
300661.SZ,2020-03-11,278.5,278.5,264.1,264.1,276.12,-12.02,-4.3532,15111.52,406779.903
300661.SZ,2020-03-12,262.4,265.0,251.88,261.65,264.1,-2.45,-0.9277,13976.93,364714.361
300661.SZ,2020-03-13,257.8,271.25,248.0,267.8,261.65,6.15,2.3505,22290.46,579102.37
300661.SZ,2020-03-16,267.63,269.89,241.02,241.02,267.8,-26.78,-10.0,21046.7,526716.89
300661.SZ,2020-03-17,247.0,247.0,227.1,237.95,241.02,-3.07,-1.2738,17670.02,417803.496
300661.SZ,2020-03-18,241.28,248.7,234.0,235.0,237.95,-2.95,-1.2398,19670.48,478304.305
300661.SZ,2020-03-19,237.09,243.68,230.0,240.85,235.0,5.85,2.4894,21137.32,502388.368
300661.SZ,2020-03-20,244.49,245.0,228.58,235.4,240.85,-5.45,-2.2628,19458.1,460587.511
300661.SZ,2020-03-23,230.2,240.79,230.0,232.64,235.4,-2.76,-1.1725,16438.07,388749.283
300661.SZ,2020-03-24,240.0,255.9,236.02,255.9,232.64,23.26,9.9983,28950.62,716184.637
300661.SZ,2020-03-25,261.49,262.0,245.46,251.8,255.9,-4.1,-1.6022,25728.45,651206.93
300661.SZ,2020-03-26,247.0,248.48,239.01,243.1,251.8,-8.7,-3.4551,14970.96,365689.144
300661.SZ,2020-03-27,246.0,247.5,240.0,241.22,243.1,-1.88,-0.7733,11178.32,272530.534
300661.SZ,2020-03-30,235.63,265.0,230.1,263.87,241.22,22.65,9.3898,23069.92,576876.293
300661.SZ,2020-03-31,269.96,279.6,260.0,268.36,263.87,4.49,1.7016,20907.82,561972.821
300661.SZ,2020-04-01,267.45,279.08,263.52,263.52,268.36,-4.84,-1.8035,18139.04,492189.573
300661.SZ,2020-04-02,260.1,289.87,260.1,289.87,263.52,26.35,9.9992,20744.51,569532.282
300661.SZ,2020-04-03,280.01,314.77,280.01,303.0,289.87,13.13,4.5296,23004.64,685559.894
300661.SZ,2020-04-07,309.15,314.5,299.9,307.0,303.0,4.0,1.3201,20544.44,628768.312
300661.SZ,2020-04-08,302.0,310.3,289.0,289.86,307.0,-17.14,-5.5831,19451.41,579106.884
300661.SZ,2020-04-09,293.14,293.99,280.0,287.5,289.86,-2.36,-0.8142,13376.32,383599.465
300661.SZ,2020-04-10,287.14,288.0,273.0,276.0,287.5,-11.5,-4.0,13208.05,370854.177
300661.SZ,2020-04-13,273.43,283.88,268.0,275.2,276.0,-0.8,-0.2899,13922.22,384952.551
300661.SZ,2020-04-14,279.75,279.76,271.2,278.0,275.2,2.8,1.0174,12377.69,342069.976
300661.SZ,2020-04-15,279.43,289.8,273.0,275.08,278.0,-2.92,-1.0504,20539.85,578055.487
300661.SZ,2020-04-16,271.02,295.0,266.0,287.32,275.08,12.24,4.4496,21013.3,591697.682
300661.SZ,2020-04-17,290.88,303.0,288.27,291.58,287.32,4.26,1.4827,22744.89,673260.986
300661.SZ,2020-04-20,288.29,299.88,280.51,296.37,291.58,4.79,1.6428,15419.45,446993.747
300661.SZ,2020-04-21,292.0,292.97,281.18,286.23,296.37,-10.14,-3.4214,10155.94,291137.513
300661.SZ,2020-04-22,280.95,293.0,279.0,290.7,286.23,4.47,1.5617,9606.2,277296.192
300661.SZ,2020-04-23,290.72,292.58,274.0,275.9,290.7,-14.8,-5.0912,13858.46,389548.818
300661.SZ,2020-04-24,275.74,279.0,268.9,272.02,275.9,-3.88,-1.4063,8095.63,220486.806
300661.SZ,2020-04-27,271.0,275.73,263.7,273.56,272.02,1.54,0.5661,7429.34,201291.456
300661.SZ,2020-04-28,271.52,298.88,270.1,292.01,273.56,18.45,6.7444,21442.95,616456.299
300661.SZ,2020-04-29,289.0,296.8,286.0,291.42,292.01,-0.59,-0.202,12862.43,376966.777
300661.SZ,2020-04-30,296.59,320.5,296.32,315.42,291.42,24.0,8.2355,24780.93,767878.7
300661.SZ,2020-05-06,317.87,346.0,313.51,343.0,315.42,27.58,8.7439,19884.94,659970.061
300661.SZ,2020-05-07,340.0,368.0,328.84,366.8,343.0,23.8,6.9388,19836.82,685383.02
300661.SZ,2020-05-08,360.0,377.0,352.5,358.65,366.8,-8.15,-2.2219,16289.86,590862.357
300661.SZ,2020-05-11,358.8,363.0,345.67,349.03,358.65,-9.62,-2.6823,15996.96,562831.198
300661.SZ,2020-05-12,350.5,359.47,345.0,355.3,349.03,6.27,1.7964,13536.44,476148.827
300661.SZ,2020-05-13,351.0,373.66,351.0,366.0,355.3,10.7,3.0115,15376.84,556466.688
300661.SZ,2020-05-14,367.0,369.7,353.11,355.5,366.0,-10.5,-2.8689,13519.27,487570.089
300661.SZ,2020-05-15,362.0,391.05,358.35,391.05,355.5,35.55,10.0,18053.91,684786.892
300661.SZ,2020-05-18,395.14,409.0,360.0,372.0,391.05,-19.05,-4.8715,34002.32,1309093.725
300661.SZ,2020-05-19,376.25,400.97,368.1,394.1,372.0,22.1,5.9409,30293.88,1180528.987
