ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300627.SZ,20200102,21.99,22.8,21.76,22.16,21.68,0.48,2.214,96605.13,214389.002
300627.SZ,20200103,22.33,24.38,22.26,24.38,22.16,2.22,10.0181,85927.36,203034.517
300627.SZ,20200106,26.82,26.82,25.22,25.9,24.38,1.52,6.2346,243283.27,645492.916
300627.SZ,20200107,26.61,28.49,25.21,27.3,25.9,1.4,5.4054,303471.24,816783.007
300627.SZ,20200108,26.25,28.63,26.25,26.42,27.3,-0.88,-3.2234,220123.89,600645.737
300627.SZ,20200109,26.0,27.7,25.9,26.71,26.42,0.29,1.0977,143838.87,384538.482
300627.SZ,20200110,26.86,26.87,25.22,25.62,26.71,-1.09,-4.0809,115722.73,298618.329
300627.SZ,20200113,25.62,26.22,25.28,26.06,25.62,0.44,1.7174,72399.37,187159.606
300627.SZ,20200114,26.3,26.3,25.5,25.98,26.06,-0.08,-0.307,63292.85,163389.598
300627.SZ,20200115,26.0,26.26,25.22,25.89,25.98,-0.09,-0.3464,58118.49,149928.861
300627.SZ,20200116,25.7,26.94,25.51,26.37,25.89,0.48,1.854,103220.1,273190.268
300627.SZ,20200117,26.5,26.5,25.41,25.67,26.37,-0.7,-2.6545,65824.7,169804.698
300627.SZ,20200120,25.4,26.94,25.23,26.73,25.67,1.06,4.1293,80518.9,211806.45
300627.SZ,20200121,26.64,27.77,25.95,26.35,26.73,-0.38,-1.4216,73595.48,196923.068
300627.SZ,20200122,25.81,27.58,25.6,27.42,26.35,1.07,4.0607,81379.45,217531.395
300627.SZ,20200123,27.0,29.53,26.86,28.03,27.42,0.61,2.2247,130707.56,370759.294
300627.SZ,20200203,25.23,25.25,25.23,25.23,28.03,-2.8,-9.9893,19117.0,48232.484
300627.SZ,20200204,23.1,26.47,23.1,25.45,25.23,0.22,0.872,110824.51,278292.373
300627.SZ,20200205,24.81,28.0,24.71,28.0,25.45,2.55,10.0196,153900.74,414751.899
300627.SZ,20200206,28.01,30.0,27.69,29.39,28.0,1.39,4.9643,162757.66,475295.636
300627.SZ,20200207,29.01,31.2,28.0,29.4,29.39,0.01,0.034,156612.39,459690.276
300627.SZ,20200210,29.5,30.6,28.6,28.91,29.4,-0.49,-1.6667,116942.26,342168.331
300627.SZ,20200211,28.8,28.91,27.0,27.55,28.91,-1.36,-4.7043,95387.71,263820.075
300627.SZ,20200212,27.32,28.56,27.1,28.4,27.55,0.85,3.0853,159321.83,446047.209
300627.SZ,20200213,28.3,28.3,26.99,27.22,28.4,-1.18,-4.1549,115955.37,317857.028
300627.SZ,20200214,27.27,28.07,27.12,27.67,27.22,0.45,1.6532,105139.4,290389.56
300627.SZ,20200217,27.81,28.75,27.42,28.73,27.67,1.06,3.8309,132678.29,376645.991
300627.SZ,20200218,28.54,29.65,28.2,29.39,28.73,0.66,2.2973,134899.88,392124.503
300627.SZ,20200219,28.88,28.98,27.7,27.82,29.39,-1.57,-5.342,117873.99,332901.464
300627.SZ,20200220,27.8,28.65,27.08,28.38,27.82,0.56,2.0129,105768.68,296136.914
300627.SZ,20200221,28.3,30.29,27.69,29.47,28.38,1.09,3.8407,161634.31,472417.788
300627.SZ,20200224,29.72,31.2,28.97,31.09,29.47,1.62,5.4971,184394.47,558447.295
300627.SZ,20200225,30.0,32.49,29.0,32.25,31.09,1.16,3.7311,183863.98,560226.381
300627.SZ,20200226,31.4,31.94,29.04,29.3,32.25,-2.95,-9.1473,141688.09,434386.303
300627.SZ,20200227,29.66,29.85,28.0,28.57,29.3,-0.73,-2.4915,77702.87,224396.958
300627.SZ,20200228,27.02,27.37,25.71,25.72,28.57,-2.85,-9.9755,92964.0,246238.197
300627.SZ,20200302,26.13,26.8,25.82,26.48,25.72,0.76,2.9549,52174.55,137713.207
