code,name,market,board,industry_l1,list_date,is_demo,has_detail,source,updated_at
000001,合成资产2201,SZSE,深市主板,食品饮料,2000-08-18,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000002,合成资产2202,SZSE,深市主板,基础化工,2002-02-15,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000003,合成资产2203,SZSE,深市主板,汽车,1994-11-07,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000004,合成资产2204,SZSE,深市主板,基础化工,2000-07-04,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000005,合成资产2205,SZSE,深市主板,电子,2009-08-26,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000006,合成资产2206,SZSE,深市主板,传媒,1998-03-23,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000007,合成资产2207,SZSE,深市主板,电力设备,2003-08-07,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000008,合成资产2208,SZSE,深市主板,电子,1992-07-03,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000009,合成资产2209,SZSE,深市主板,汽车,2020-10-23,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000010,合成资产2210,SZSE,深市主板,传媒,2001-09-04,1,1,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000011,合成资产2211,SZSE,深市主板,非银金融,2003-03-26,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000012,合成资产2212,SZSE,深市主板,电力设备,1992-11-23,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000013,合成资产2213,SZSE,深市主板,基础化工,2008-06-12,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000014,合成资产2214,SZSE,深市主板,通信,1995-05-22,1,1,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000015,合成资产2215,SZSE,深市主板,农林牧渔,2003-12-03,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000016,合成资产2216,SZSE,深市主板,交通运输,2015-09-28,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000017,合成资产2217,SZSE,深市主板,石油石化,2022-05-31,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000018,合成资产2218,SZSE,深市主板,基础化工,2015-03-26,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000019,合成资产2219,SZSE,深市主板,计算机,2013-11-15,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000020,合成资产2220,SZSE,深市主板,公用事业,1998-09-08,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000021,合成资产2221,SZSE,深市主板,电力设备,2004-05-11,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000022,合成资产2222,SZSE,深市主板,机械设备,2012-11-16,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000023,合成资产2223,SZSE,深市主板,医药生物,2001-02-22,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000024,合成资产2224,SZSE,深市主板,电力设备,2014-01-10,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000025,合成资产2225,SZSE,深市主板,汽车,1994-07-25,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000026,合成资产2226,SZSE,深市主板,计算机,2013-04-10,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000027,合成资产2227,SZSE,深市主板,电子,2013-09-04,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000028,合成资产2228,SZSE,深市主板,基础化工,2003-05-14,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000029,合成资产2229,SZSE,深市主板,基础化工,2007-10-18,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000030,合成资产2230,SZSE,深市主板,建筑材料,1997-05-12,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000031,合成资产2231,SZSE,深市主板,计算机,2001-06-18,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000032,合成资产2232,SZSE,深市主板,电力设备,2009-07-16,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000033,合成资产2233,SZSE,深市主板,钢铁,2011-07-26,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000034,合成资产2234,SZSE,深市主板,食品饮料,2017-09-05,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000035,合成资产2235,SZSE,深市主板,汽车,2016-05-25,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000036,合成资产2236,SZSE,深市主板,电力设备,2016-04-11,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000037,合成资产2237,SZSE,深市主板,机械设备,2012-07-04,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000038,合成资产2238,SZSE,深市主板,石油石化,1993-04-13,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000039,合成资产2239,SZSE,深市主板,商贸零售,1998-05-29,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000040,合成资产2240,SZSE,深市主板,计算机,2008-07-14,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000041,合成资产2241,SZSE,深市主板,建筑装饰,1999-03-11,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000042,合成资产2242,SZSE,深市主板,轻工制造,2006-10-03,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000043,合成资产2243,SZSE,深市主板,基础化工,2015-05-22,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000044,合成资产2244,SZSE,深市主板,计算机,2006-05-23,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000045,合成资产2245,SZSE,深市主板,建筑材料,2017-11-16,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000046,合成资产2246,SZSE,深市主板,社会服务,2020-05-15,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000047,合成资产2247,SZSE,深市主板,房地产,2007-08-28,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000048,合成资产2248,SZSE,深市主板,电子,2010-05-26,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000049,合成资产2249,SZSE,深市主板,计算机,2022-10-13,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000050,合成资产2250,SZSE,深市主板,钢铁,2003-07-30,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000051,合成资产2251,SZSE,深市主板,汽车,1998-04-09,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000052,合成资产2252,SZSE,深市主板,交通运输,2006-11-14,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000053,合成资产2253,SZSE,深市主板,食品饮料,2006-01-18,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000054,合成资产2254,SZSE,深市主板,轻工制造,2012-06-11,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000055,合成资产2255,SZSE,深市主板,综合,1995-03-15,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000056,合成资产2256,SZSE,深市主板,电力设备,2021-12-28,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000057,合成资产2257,SZSE,深市主板,钢铁,1993-10-28,1,1,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000058,合成资产2258,SZSE,深市主板,机械设备,2002-09-17,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000059,合成资产2259,SZSE,深市主板,食品饮料,2015-11-13,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000060,合成资产2260,SZSE,深市主板,轻工制造,2015-03-18,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000061,合成资产2261,SZSE,深市主板,电子,2017-01-26,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000062,合成资产2262,SZSE,深市主板,食品饮料,2007-08-08,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000063,合成资产2263,SZSE,深市主板,公用事业,1995-04-18,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000064,合成资产2264,SZSE,深市主板,基础化工,2014-12-16,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000065,合成资产2265,SZSE,深市主板,电力设备,1996-11-07,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000066,合成资产2266,SZSE,深市主板,农林牧渔,2013-04-24,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000067,合成资产2267,SZSE,深市主板,汽车,2004-09-29,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000068,合成资产2268,SZSE,深市主板,有色金属,1998-05-11,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000069,合成资产2269,SZSE,深市主板,银行,2019-06-12,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000070,合成资产2270,SZSE,深市主板,电子,2000-05-17,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000071,合成资产2271,SZSE,深市主板,建筑材料,2018-02-02,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000072,合成资产2272,SZSE,深市主板,国防军工,1995-10-02,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000073,合成资产2273,SZSE,深市主板,计算机,2014-03-20,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000074,合成资产2274,SZSE,深市主板,基础化工,2019-03-11,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000075,合成资产2275,SZSE,深市主板,公用事业,1992-11-17,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000076,合成资产2276,SZSE,深市主板,社会服务,2003-05-13,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000077,合成资产2277,SZSE,深市主板,轻工制造,2017-11-27,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000078,合成资产2278,SZSE,深市主板,非银金融,2008-04-25,1,1,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000079,合成资产2279,SZSE,深市主板,电力设备,1997-03-17,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000080,合成资产2280,SZSE,深市主板,基础化工,2023-01-04,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000081,合成资产2281,SZSE,深市主板,农林牧渔,1996-12-05,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000082,合成资产2282,SZSE,深市主板,计算机,2001-11-26,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000083,合成资产2283,SZSE,深市主板,环保,2016-10-26,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000084,合成资产2284,SZSE,深市主板,医药生物,2003-12-09,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000085,合成资产2285,SZSE,深市主板,石油石化,2017-07-26,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000086,合成资产2286,SZSE,深市主板,石油石化,2013-07-17,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000087,合成资产2287,SZSE,深市主板,医药生物,2006-10-11,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000088,合成资产2288,SZSE,深市主板,医药生物,1995-10-11,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000089,合成资产2289,SZSE,深市主板,轻工制造,2003-12-05,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000090,合成资产2290,SZSE,深市主板,轻工制造,2019-03-28,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000091,合成资产2291,SZSE,深市主板,交通运输,2014-04-23,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000092,合成资产2292,SZSE,深市主板,有色金属,2006-04-10,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000093,合成资产2293,SZSE,深市主板,电力设备,2017-12-04,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000094,合成资产2294,SZSE,深市主板,电子,2012-12-12,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000095,合成资产2295,SZSE,深市主板,公用事业,2010-12-01,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000096,合成资产2296,SZSE,深市主板,计算机,2000-10-20,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000097,合成资产2297,SZSE,深市主板,计算机,2015-07-13,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000098,合成资产2298,SZSE,深市主板,计算机,2022-01-24,1,1,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000099,合成资产2299,SZSE,深市主板,食品饮料,2008-12-24,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000100,合成资产2300,SZSE,深市主板,医药生物,2008-02-12,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000101,合成资产2301,SZSE,深市主板,建筑装饰,2015-08-10,1,1,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000102,合成资产2302,SZSE,深市主板,钢铁,1999-11-17,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000103,合成资产2303,SZSE,深市主板,电子,2019-11-05,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000104,合成资产2304,SZSE,深市主板,轻工制造,2017-12-20,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000105,合成资产2305,SZSE,深市主板,石油石化,2017-08-28,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000106,合成资产2306,SZSE,深市主板,食品饮料,1998-04-28,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
000107,合成资产2307,SZSE,深市主板,环保,1991-10-01,1,0,deterministic_synthetic_catalog,2026-08-28T00:00:00+00:00
